398.ari,MAYBE,4.096,398.txt.gz
1621.ari,MAYBE,5.919,1621.txt.gz
16.ari,NO,0.252,16.xml.gz
197.ari,YES,0.093,197.xml.gz
809.ari,NO,0.260,809.xml.gz
230.ari,NO,0.111,230.xml.gz
854.ari,MAYBE,16.150,854.txt.gz
71.ari,YES,0.089,71.xml.gz
867.ari,MAYBE,17.640,867.txt.gz
147.ari,YES,0.092,147.xml.gz
40.ari,YES,0.087,40.xml.gz
443.ari,MAYBE,5.992,443.txt.gz
97.ari,NO,0.161,97.xml.gz
434.ari,NO,0.109,434.xml.gz
578.ari,NO,0.118,578.xml.gz
805.ari,NO,0.824,805.xml.gz
144.ari,MAYBE,1.931,144.txt.gz
150.ari,MAYBE,7.125,150.txt.gz
131.ari,MAYBE,5.330,131.txt.gz
450.ari,MAYBE,6.335,450.txt.gz
202.ari,NO,1.133,202.xml.gz
60.ari,MAYBE,7.414,60.txt.gz
209.ari,MAYBE,41.251,209.txt.gz
445.ari,NO,0.193,445.xml.gz
793.ari,MAYBE,14.122,793.txt.gz
488.ari,YES,0.092,488.xml.gz
836.ari,NO,0.165,836.xml.gz
878.ari,MAYBE,19.966,878.txt.gz
227.ari,NO,0.160,227.xml.gz
508.ari,NO,0.266,508.xml.gz
54.ari,MAYBE,0.295,54.txt.gz
224.ari,MAYBE,6.814,224.txt.gz
465.ari,MAYBE,35.221,465.txt.gz
51.ari,MAYBE,0.253,51.txt.gz
821.ari,MAYBE,60.036,821.txt.gz
1008.ari,MAYBE,34.066,1008.txt.gz
863.ari,MAYBE,20.768,863.txt.gz
1006.ari,MAYBE,60.028,1006.txt.gz
463.ari,MAYBE,21.661,463.txt.gz
94.ari,NO,0.140,94.xml.gz
151.ari,MAYBE,3.543,151.txt.gz
242.ari,NO,0.161,242.xml.gz
802.ari,MAYBE,20.198,802.txt.gz
82.ari,MAYBE,22.499,82.txt.gz
828.ari,MAYBE,60.036,828.txt.gz
478.ari,NO,0.397,478.xml.gz
25.ari,MAYBE,18.994,25.txt.gz
123.ari,MAYBE,6.385,123.txt.gz
565.ari,YES,0.093,565.xml.gz
245.ari,NO,0.150,245.xml.gz
108.ari,MAYBE,11.432,108.txt.gz
396.ari,MAYBE,8.833,396.txt.gz
37.ari,MAYBE,1.585,37.txt.gz
499.ari,NO,0.176,499.xml.gz
864.ari,MAYBE,20.347,864.txt.gz
442.ari,MAYBE,6.934,442.txt.gz
136.ari,MAYBE,6.334,136.txt.gz
177.ari,MAYBE,5.873,177.txt.gz
1497.ari,NO,0.122,1497.xml.gz
244.ari,NO,0.130,244.xml.gz
581.ari,MAYBE,22.442,581.txt.gz
500.ari,NO,0.745,500.xml.gz
599.ari,YES,0.090,599.xml.gz
623.ari,NO,0.112,623.xml.gz
852.ari,MAYBE,20.928,852.txt.gz
186.ari,MAYBE,5.266,186.txt.gz
561.ari,YES,0.084,561.xml.gz
604.ari,NO,0.144,604.xml.gz
200.ari,MAYBE,6.267,200.txt.gz
201.ari,MAYBE,6.236,201.txt.gz
806.ari,YES,0.095,806.xml.gz
641.ari,MAYBE,20.608,641.txt.gz
1607.ari,NO,0.795,1607.xml.gz
83.ari,YES,0.089,83.xml.gz
192.ari,MAYBE,6.002,192.txt.gz
796.ari,YES,0.085,796.xml.gz
70.ari,YES,0.088,70.xml.gz
168.ari,MAYBE,4.888,168.txt.gz
211.ari,MAYBE,10.760,211.txt.gz
981.ari,YES,0.088,981.xml.gz
238.ari,NO,0.153,238.xml.gz
601.ari,YES,0.093,601.xml.gz
135.ari,MAYBE,1.639,135.txt.gz
42.ari,MAYBE,18.559,42.txt.gz
486.ari,MAYBE,6.910,486.txt.gz
829.ari,NO,0.690,829.xml.gz
882.ari,MAYBE,27.882,882.txt.gz
92.ari,YES,0.088,92.xml.gz
32.ari,NO,0.104,32.xml.gz
140.ari,MAYBE,5.985,140.txt.gz
866.ari,MAYBE,17.214,866.txt.gz
1622.ari,MAYBE,60.071,1622.txt.gz
430.ari,NO,0.111,430.xml.gz
839.ari,MAYBE,28.115,839.txt.gz
880.ari,MAYBE,15.798,880.txt.gz
109.ari,MAYBE,1.317,109.txt.gz
861.ari,MAYBE,27.458,861.txt.gz
557.ari,YES,0.082,557.xml.gz
560.ari,MAYBE,60.025,560.txt.gz
78.ari,MAYBE,9.243,78.txt.gz
