486.ari,YES,0.075,486.txt.gz
238.ari,NO,0.128,238.txt.gz
398.ari,YES,0.106,398.txt.gz
581.ari,NO,3.908,581.txt.gz
623.ari,NO,0.083,623.txt.gz
450.ari,MAYBE,8.865,450.txt.gz
802.ari,MAYBE,26.159,802.txt.gz
882.ari,MAYBE,22.678,882.txt.gz
108.ari,MAYBE,60.054,108.txt.gz
209.ari,YES,0.054,209.txt.gz
40.ari,YES,0.055,40.txt.gz
1622.ari,MAYBE,60.083,1622.txt.gz
478.ari,NO,0.085,478.txt.gz
16.ari,NO,0.284,16.txt.gz
806.ari,YES,0.054,806.txt.gz
177.ari,YES,13.773,177.txt.gz
445.ari,NO,0.176,445.txt.gz
805.ari,MAYBE,60.027,805.txt.gz
500.ari,NO,0.082,500.txt.gz
168.ari,YES,12.858,168.txt.gz
147.ari,YES,0.058,147.txt.gz
211.ari,YES,0.053,211.txt.gz
430.ari,NO,0.091,430.txt.gz
488.ari,YES,0.068,488.txt.gz
821.ari,MAYBE,60.022,821.txt.gz
244.ari,NO,0.670,244.txt.gz
245.ari,NO,0.258,245.txt.gz
560.ari,MAYBE,60.027,560.txt.gz
151.ari,YES,5.622,151.txt.gz
396.ari,YES,0.074,396.txt.gz
878.ari,MAYBE,20.252,878.txt.gz
578.ari,NO,0.089,578.txt.gz
83.ari,YES,0.056,83.txt.gz
150.ari,YES,11.687,150.txt.gz
25.ari,YES,0.053,25.txt.gz
565.ari,YES,0.058,565.txt.gz
70.ari,YES,0.055,70.txt.gz
854.ari,MAYBE,60.079,854.txt.gz
1497.ari,NO,0.053,1497.txt.gz
981.ari,YES,0.063,981.txt.gz
42.ari,YES,0.047,42.txt.gz
499.ari,NO,0.071,499.txt.gz
1607.ari,NO,0.695,1607.txt.gz
508.ari,NO,1.037,508.txt.gz
641.ari,MAYBE,24.835,641.txt.gz
442.ari,MAYBE,32.656,442.txt.gz
829.ari,MAYBE,60.045,829.txt.gz
599.ari,YES,0.059,599.txt.gz
796.ari,YES,0.131,796.txt.gz
828.ari,MAYBE,60.021,828.txt.gz
839.ari,YES,0.291,839.txt.gz
866.ari,MAYBE,60.072,866.txt.gz
1621.ari,MAYBE,6.164,1621.txt.gz
192.ari,YES,19.602,192.txt.gz
227.ari,NO,0.133,227.txt.gz
793.ari,YES,0.368,793.txt.gz
864.ari,MAYBE,60.060,864.txt.gz
54.ari,YES,0.125,54.txt.gz
71.ari,YES,0.068,71.txt.gz
604.ari,NO,0.104,604.txt.gz
230.ari,NO,0.090,230.txt.gz
60.ari,YES,0.102,60.txt.gz
561.ari,YES,0.055,561.txt.gz
601.ari,YES,0.049,601.txt.gz
852.ari,MAYBE,22.535,852.txt.gz
880.ari,YES,18.599,880.txt.gz
224.ari,YES,0.075,224.txt.gz
197.ari,YES,0.051,197.txt.gz
109.ari,YES,0.109,109.txt.gz
202.ari,NO,0.145,202.txt.gz
32.ari,NO,0.057,32.txt.gz
144.ari,YES,2.462,144.txt.gz
186.ari,YES,8.216,186.txt.gz
200.ari,YES,8.847,200.txt.gz
1008.ari,MAYBE,34.075,1008.txt.gz
557.ari,YES,0.061,557.txt.gz
92.ari,YES,0.055,92.txt.gz
863.ari,MAYBE,60.135,863.txt.gz
94.ari,NO,0.055,94.txt.gz
242.ari,NO,0.152,242.txt.gz
434.ari,NO,0.076,434.txt.gz
131.ari,YES,8.668,131.txt.gz
861.ari,YES,0.390,861.txt.gz
836.ari,NO,0.208,836.txt.gz
123.ari,YES,7.945,123.txt.gz
37.ari,YES,0.055,37.txt.gz
82.ari,YES,0.071,82.txt.gz
136.ari,YES,8.285,136.txt.gz
1006.ari,MAYBE,60.127,1006.txt.gz
443.ari,MAYBE,60.030,443.txt.gz
867.ari,MAYBE,20.930,867.txt.gz
97.ari,NO,0.136,97.txt.gz
140.ari,YES,9.614,140.txt.gz
201.ari,YES,8.390,201.txt.gz
135.ari,YES,2.600,135.txt.gz
51.ari,MAYBE,0.491,51.txt.gz
465.ari,MAYBE,40.728,465.txt.gz
809.ari,NO,2.223,809.txt.gz
463.ari,MAYBE,60.084,463.txt.gz
78.ari,YES,0.056,78.txt.gz
