54.ari,YES,1.549,54.txt.gz
641.ari,NO,1.325,641.txt.gz
97.ari,NO,1.312,97.txt.gz
123.ari,YES,1.896,123.txt.gz
796.ari,YES,1.282,796.txt.gz
981.ari,YES,1.698,981.txt.gz
147.ari,YES,1.493,147.txt.gz
16.ari,NO,2.863,16.txt.gz
1006.ari,MAYBE,60.193,1006.txt.gz
1008.ari,MAYBE,60.178,1008.txt.gz
1497.ari,NO,1.172,1497.txt.gz
186.ari,YES,2.276,186.txt.gz
478.ari,NO,2.003,478.txt.gz
809.ari,NO,1.247,809.txt.gz
202.ari,NO,1.285,202.txt.gz
60.ari,YES,1.569,60.txt.gz
242.ari,NO,1.423,242.txt.gz
109.ari,YES,1.480,109.txt.gz
499.ari,NO,1.119,499.txt.gz
793.ari,YES,1.505,793.txt.gz
465.ari,MAYBE,60.188,465.txt.gz
82.ari,YES,1.256,82.txt.gz
177.ari,YES,2.578,177.txt.gz
486.ari,YES,1.616,486.txt.gz
852.ari,MAYBE,60.094,852.txt.gz
863.ari,MAYBE,60.093,863.txt.gz
209.ari,YES,1.249,209.txt.gz
836.ari,NO,1.167,836.txt.gz
1622.ari,YES,1.433,1622.txt.gz
443.ari,YES,15.308,443.txt.gz
882.ari,MAYBE,60.158,882.txt.gz
396.ari,YES,1.168,396.txt.gz
557.ari,YES,1.227,557.txt.gz
878.ari,MAYBE,60.213,878.txt.gz
434.ari,NO,1.185,434.txt.gz
561.ari,YES,1.356,561.txt.gz
880.ari,MAYBE,60.106,880.txt.gz
135.ari,YES,2.275,135.txt.gz
430.ari,NO,1.117,430.txt.gz
623.ari,NO,1.323,623.txt.gz
151.ari,YES,1.708,151.txt.gz
604.ari,NO,1.307,604.txt.gz
578.ari,NO,1.309,578.txt.gz
867.ari,YES,7.085,867.txt.gz
32.ari,NO,1.140,32.txt.gz
565.ari,YES,1.377,565.txt.gz
821.ari,NO,14.550,821.txt.gz
168.ari,YES,1.830,168.txt.gz
131.ari,YES,1.637,131.txt.gz
71.ari,YES,1.247,71.txt.gz
192.ari,YES,1.701,192.txt.gz
230.ari,NO,1.191,230.txt.gz
70.ari,YES,1.458,70.txt.gz
227.ari,NO,1.257,227.txt.gz
211.ari,YES,1.185,211.txt.gz
445.ari,NO,1.414,445.txt.gz
839.ari,YES,4.189,839.txt.gz
144.ari,YES,2.135,144.txt.gz
37.ari,YES,1.373,37.txt.gz
450.ari,NO,12.890,450.txt.gz
802.ari,NO,2.736,802.txt.gz
805.ari,NO,2.465,805.txt.gz
201.ari,YES,1.969,201.txt.gz
92.ari,YES,1.205,92.txt.gz
83.ari,YES,1.323,83.txt.gz
854.ari,MAYBE,31.210,854.txt.gz
197.ari,YES,1.744,197.txt.gz
442.ari,YES,8.851,442.txt.gz
398.ari,YES,1.419,398.txt.gz
508.ari,NO,1.268,508.txt.gz
78.ari,YES,1.338,78.txt.gz
94.ari,NO,1.304,94.txt.gz
1621.ari,MAYBE,31.163,1621.txt.gz
42.ari,YES,1.257,42.txt.gz
599.ari,YES,1.421,599.txt.gz
488.ari,YES,1.183,488.txt.gz
500.ari,NO,1.306,500.txt.gz
200.ari,YES,1.626,200.txt.gz
244.ari,NO,1.330,244.txt.gz
150.ari,YES,2.881,150.txt.gz
224.ari,YES,1.445,224.txt.gz
108.ari,MAYBE,60.154,108.txt.gz
864.ari,MAYBE,60.129,864.txt.gz
581.ari,NO,1.824,581.txt.gz
1607.ari,NO,1.327,1607.txt.gz
238.ari,NO,1.532,238.txt.gz
560.ari,NO,1.172,560.txt.gz
601.ari,YES,1.196,601.txt.gz
828.ari,NO,22.848,828.txt.gz
866.ari,YES,9.015,866.txt.gz
245.ari,MAYBE,60.164,245.txt.gz
136.ari,YES,1.577,136.txt.gz
140.ari,YES,1.883,140.txt.gz
806.ari,YES,1.656,806.txt.gz
25.ari,YES,3.125,25.txt.gz
40.ari,YES,1.314,40.txt.gz
829.ari,NO,1.138,829.txt.gz
51.ari,MAYBE,22.640,51.txt.gz
463.ari,MAYBE,60.158,463.txt.gz
861.ari,MAYBE,60.094,861.txt.gz
