147.ari,YES,0.120,147.xml.gz
1622.ari,MAYBE,0.122,1622.txt.gz
244.ari,NO,0.883,244.xml.gz
863.ari,YES,44.258,863.xml.gz
829.ari,NO,0.027,829.xml.gz
54.ari,MAYBE,0.021,54.txt.gz
202.ari,NO,0.017,202.xml.gz
224.ari,MAYBE,1.484,224.txt.gz
227.ari,NO,0.018,227.xml.gz
245.ari,NO,0.026,245.xml.gz
144.ari,MAYBE,0.762,144.txt.gz
37.ari,YES,0.131,37.xml.gz
508.ari,NO,0.722,508.xml.gz
793.ari,MAYBE,60.057,793.txt.gz
200.ari,MAYBE,60.095,200.txt.gz
42.ari,YES,0.142,42.xml.gz
442.ari,MAYBE,60.111,442.txt.gz
40.ari,YES,0.113,40.xml.gz
809.ari,NO,0.021,809.xml.gz
878.ari,MAYBE,15.209,878.txt.gz
499.ari,NO,0.020,499.xml.gz
60.ari,YES,0.320,60.xml.gz
450.ari,MAYBE,35.493,450.txt.gz
434.ari,NO,0.016,434.xml.gz
557.ari,YES,0.099,557.xml.gz
839.ari,MAYBE,60.029,839.txt.gz
430.ari,NO,0.017,430.xml.gz
560.ari,NO,0.023,560.xml.gz
70.ari,YES,0.097,70.xml.gz
192.ari,MAYBE,60.070,192.txt.gz
604.ari,NO,0.024,604.xml.gz
16.ari,NO,0.020,16.xml.gz
880.ari,MAYBE,16.909,880.txt.gz
97.ari,NO,0.017,97.xml.gz
565.ari,YES,0.112,565.xml.gz
802.ari,NO,0.031,802.xml.gz
94.ari,NO,0.017,94.xml.gz
168.ari,MAYBE,60.124,168.txt.gz
201.ari,MAYBE,43.303,201.txt.gz
981.ari,YES,0.099,981.xml.gz
561.ari,YES,0.077,561.xml.gz
486.ari,YES,1.091,486.xml.gz
209.ari,MAYBE,0.022,209.txt.gz
51.ari,MAYBE,0.034,51.txt.gz
136.ari,YES,11.620,136.xml.gz
1607.ari,NO,0.016,1607.xml.gz
242.ari,NO,0.017,242.xml.gz
1006.ari,NO,0.018,1006.xml.gz
1008.ari,NO,0.020,1008.xml.gz
71.ari,YES,0.099,71.xml.gz
854.ari,NO,0.182,854.xml.gz
78.ari,MAYBE,60.027,78.txt.gz
396.ari,MAYBE,0.024,396.txt.gz
601.ari,YES,0.099,601.xml.gz
82.ari,YES,0.278,82.xml.gz
867.ari,YES,39.152,867.xml.gz
866.ari,MAYBE,28.351,866.txt.gz
445.ari,NO,11.610,445.xml.gz
25.ari,MAYBE,1.357,25.txt.gz
581.ari,NO,0.018,581.xml.gz
32.ari,NO,0.018,32.xml.gz
836.ari,NO,0.016,836.xml.gz
135.ari,MAYBE,1.019,135.txt.gz
882.ari,MAYBE,1.454,882.txt.gz
108.ari,MAYBE,60.031,108.txt.gz
123.ari,MAYBE,60.033,123.txt.gz
1621.ari,MAYBE,0.060,1621.txt.gz
578.ari,NO,0.019,578.xml.gz
230.ari,NO,0.019,230.xml.gz
197.ari,YES,0.188,197.xml.gz
806.ari,YES,0.105,806.xml.gz
623.ari,NO,0.026,623.xml.gz
109.ari,YES,0.130,109.xml.gz
828.ari,MAYBE,60.074,828.txt.gz
443.ari,MAYBE,60.024,443.txt.gz
1497.ari,NO,0.016,1497.xml.gz
398.ari,MAYBE,0.019,398.txt.gz
463.ari,MAYBE,60.063,463.txt.gz
641.ari,NO,0.018,641.xml.gz
852.ari,MAYBE,60.031,852.txt.gz
177.ari,MAYBE,60.107,177.txt.gz
599.ari,YES,0.141,599.xml.gz
488.ari,YES,0.101,488.xml.gz
805.ari,NO,0.026,805.xml.gz
151.ari,MAYBE,41.313,151.txt.gz
140.ari,MAYBE,60.052,140.txt.gz
478.ari,NO,0.018,478.xml.gz
500.ari,NO,0.028,500.xml.gz
821.ari,NO,11.289,821.xml.gz
796.ari,YES,0.080,796.xml.gz
83.ari,YES,0.100,83.xml.gz
150.ari,MAYBE,20.497,150.txt.gz
211.ari,MAYBE,0.065,211.txt.gz
864.ari,MAYBE,1.167,864.txt.gz
861.ari,MAYBE,23.269,861.txt.gz
131.ari,MAYBE,42.294,131.txt.gz
186.ari,MAYBE,60.092,186.txt.gz
92.ari,YES,0.120,92.xml.gz
238.ari,MAYBE,0.436,238.txt.gz
465.ari,MAYBE,60.021,465.txt.gz
